epoch,loss_d,loss_g
1,0.136564,8.863244
2,0.178469,7.110585
3,0.148716,6.039349
4,0.164566,6.618745
5,0.137291,6.236275
6,0.128929,6.591491
7,0.109094,6.413610
8,0.105330,6.598055
9,0.084786,6.889176
10,0.112783,7.614799
11,0.285843,8.910359
12,0.240597,8.312501
13,0.178539,6.942486
14,0.286438,7.346750
15,0.228571,6.580221
16,0.181618,6.015315
17,0.206249,6.288051
18,0.279920,6.224619
19,0.213573,5.781936
20,0.169717,5.507294
21,0.197111,5.883828
22,0.249685,5.619233
23,0.192653,5.669564
24,0.158314,5.471956
25,0.268733,5.589568
26,0.192994,5.424793
27,0.163072,5.286232
28,0.232787,5.281042
29,0.157459,5.120758
30,0.224213,5.132711
