epoch,loss_c,loss_g,wasserstein
1,-20.987841,12.593589,27.759905
2,-23.908119,25.243089,30.639391
3,-22.482963,29.898699,29.197171
4,-22.312077,30.777699,29.407448
5,-22.817563,30.428782,30.313017
6,-23.217663,29.950464,31.323118
7,-22.447844,30.672058,30.370956
8,-21.809610,30.809828,29.575191
9,-20.896413,31.179900,28.538592
10,-19.282142,29.956122,25.935767
11,-18.445483,28.314473,25.036196
12,-17.269653,26.787063,22.893692
13,-16.658951,26.787343,22.283971
14,-16.295917,26.533925,21.228325
15,-15.921320,26.441736,21.126679
16,-15.592755,27.130926,20.433909
17,-15.073731,27.430378,19.852900
18,-15.070734,28.441945,19.712904
19,-14.835330,28.940470,19.566600
20,-14.795840,29.938170,19.194815
21,-14.552363,31.360191,19.043197
22,-14.541258,33.171199,18.994081
23,-14.278302,34.849246,18.747042
24,-14.320950,36.081010,18.871416
25,-14.419961,36.858482,18.687465
26,-14.160208,37.989854,18.431503
27,-14.227011,39.166097,18.379042
28,-14.059009,40.312577,18.197164
29,-14.103863,41.872496,18.216552
30,-13.879859,44.141174,17.921929
